name,sinta_id,dept,sinta_score,sinta_3yr_score,affil_score,affil_3yr_score,scopus_h_index,gs_h_index,wos_h_index,scopus_i10_index,gs_i10_index,wos_i10_index,scopus_g_index,gs_g_index,wos_g_index,scopus_article,scopus_citation,scopus_cited_document,gs_article,gs_citation,gs_cited_document,wos_article,wos_citation,wos_cited_document
ALI ISMAIL,5993063,S1 - PGSD Kampus Sumedang,452,312,0,0,3,7,,0,7,,1,2,,14,28,10,35,210,26,0,0,0
NURDINAH HANIFAH,5992549,S1 - PGSD Kampus Sumedang,707,315,0,0,1,13,,0,16,,1,1,,7,6,4,116,939,59,0,0,0
YUDY HENDRAYANA,6661161,S3 - Pendidikan Olahraga,552,294,0,0,2,9,1,1,8,0,5,7,1,11,24,4,73,208,35,0,0,0
NURLAN KUSMAEDI,6146204,S1 - Ilmu Keolahragaan,535,316,0,0,1,10,,0,10,,2,1,,9,6,5,79,362,35,0,0,0
KARTIKA YULIANTI,5979108,S1 - Pendidikan Matematika,547,282,0,0,3,8,,1,7,,3,1,,15,13,5,58,268,27,0,0,0
ANY FITRIANI,6004273,S2 - Pendidikan Ilmu Pengetahuan Alam,810,281,0,0,3,12,,1,15,,1,1,,18,72,9,70,767,44,0,0,0
RIDWAN EFENDI,5987645,S1 - Pendidikan Fisika,558,283,0,0,2,6,1,0,2,0,1,1,1,17,10,4,67,155,33,4,2,2
YOYOH JUBAEDAH,5993750,S1 - Pendidikan Kesejahteraan Keluarga,631,289,0,0,1,6,1,0,1,0,3,1,1,4,6,2,76,114,34,6,4,2
SITI SRIYATI,6004536,S2 - Pendidikan Biologi,615,285,0,0,4,9,0,1,9,0,1,1,0,21,37,10,96,339,56,0,0,0
TATANG MUHTAR,5993773,S2 - Pendidikan Jasmani,616,287,0,0,3,9,,0,8,,3,1,,4,18,4,99,339,39,0,0,0
GALUH YULIANI,5975260,S2 - Kimia,813,286,0,0,7,9,,5,8,,1,1,,28,133,18,48,220,31,0,0,0
SUWATNO,5991814,S2 - Pendidikan Ekonomi,1.040,408,0,0,2,16,2,0,26,0,4,1,4,11,13,5,175,2238,91,10,15,3
ACE SURYADI,5979226,S3 - Pendidikan Masyarakat,910,399,0,0,3,20,,1,39,,1,1,,19,59,10,130,2075,91,0,0,0
NURIA HARISTIANI,5994096,S2 - Pendidikan Bahasa Jepang,813,410,0,0,7,8,5,6,6,2,1,1,5,14,107,11,63,223,25,7,32,5
UDIN SUPRIADI,5993561,S1 - Ilmu Pendidikan Agama Islam,527,290,0,0,1,6,0,0,4,0,1,1,0,4,3,1,60,180,32,0,0,0
SHANDRA RAMA PANJI WULUNG,6680229,S1 - Pendidikan Pariwisata,479,416,0,0,2,6,1,0,2,0,1,1,2,5,5,3,55,110,30,2,2,1
VIDI SUKMAYADI,5975463,S1 - Ilmu Komunikasi,574,412,0,0,4,6,3,1,4,0,3,1,3,14,38,10,41,129,20,8,18,5
DEDI ROHENDI,5978259,S1 - Pendidikan Teknik Otomotif,1.006,421,0,0,5,11,2,2,13,0,2,1,1,22,75,20,99,591,53,21,24,15
BACHRUDIN MUSTHAFA,5991800,S3 - Linguistik,689,422,0,0,3,14,,1,23,,1,1,,16,26,8,138,1019,81,0,0,0
RATNANINGSIH EKO SARDJONO,5979503,S2 - Kimia,889,299,0,0,6,9,,3,9,,2,1,,26,205,22,56,393,29,0,0,0
NAHADI,5978998,S2 - Pendidikan Kimia,767,299,0,0,4,6,,2,5,,1,3,,30,48,14,40,153,25,0,0,0
SUMARTO,5979244,S3 - Pendidikan Teknologi dan Kejuruan,970,305,0,0,3,18,4,0,19,4,1,1,2,31,29,15,65,1707,36,13,121,7
ANI NUR AENI,5993277,S1 - PGSD Kampus Sumedang,752,282,0,0,1,13,,0,17,,3,2,,8,9,4,220,929,81,0,0,0
TATAT HARTATI,6038950,S2 - Pendidikan Dasar,602,286,0,0,1,11,,0,16,,3,1,,7,6,3,100,475,54,0,0,0
HANA RUWAIDAH,6675247,Unknown,1.822,308,0,0,0,141,,0,740,,0,0,,0,0,0,2053,107985,0,0,0,0
IRMA RAHMA SUWARMA,5983995,S2 - Pendidikan Fisika,639,310,0,0,4,13,,1,15,,1,1,,20,50,12,72,576,48,0,0,0
JOHAR MAKNUN,5994899,S1 - Pendidikan Teknik Arsitektur,766,304,0,0,3,10,,0,10,,1,1,,26,33,13,86,309,46,0,0,0
RIRIN SISPIYATI,5986406,S1 - Pendidikan Matematika,474,302,0,0,2,6,0,0,4,0,1,1,0,11,16,5,33,111,20,0,0,0
DINDIN ABDUL MUIZ LIDINILLAH,5977469,S1 - PGSD Kampus Tasikmalaya,548,307,0,0,1,11,1,0,13,0,1,1,2,8,5,4,108,675,63,2,1,1
WAWAN GUNAWAN,5994823,S2 - Linguistik,709,307,0,0,2,5,1,1,5,0,1,4,2,13,73,7,46,265,26,0,0,0
SUNARDI,6656915,S3 - Pendidikan Khusus,991,431,0,0,5,5,,3,4,,1,5,,9,72,6,18,77,8,0,0,0
FARAH AYUNDA YASMIN,6739238,Unknown,703,292,0,0,0,20,,0,52,,0,1,,0,0,0,686,2695,291,0,0,0
HERY SUPIARZA,6664624,S1 - Film dan Televisi,357,288,0,0,0,7,0,0,5,0,1,1,1,1,0,0,27,116,17,1,0,0
DODI SURYANA,6121280,S1 - Bimbingan Dan Konseling,375,316,0,0,3,4,1,1,1,0,1,1,2,28,40,17,29,62,13,2,3,2
SARIWULAN DIANA,6035050,S1 - Pendidikan Biologi,823,288,0,0,2,8,2,0,5,0,1,1,1,19,19,9,62,246,35,14,10,3
SAPRIYA,5987047,S2 - Pendidikan Kewarganegaraan,609,319,0,0,3,12,0,1,16,0,1,1,0,19,33,8,79,1061,49,0,0,0
HERNANI,6662199,S2 - Pendidikan Kimia,828,430,0,0,5,5,0,2,5,0,1,6,0,35,101,15,29,147,18,0,0,0
MUHAMAD GINA NUGRAHA,258012,S1 - Pendidikan Fisika,907,325,0,0,4,12,2,2,16,0,1,1,2,26,58,16,70,665,42,10,10,6
EUIS KURNIATI,6001374,S2 - Pendidikan Anak Usia Dini,468,295,0,0,0,11,,0,12,,1,1,,4,0,0,83,2517,47,0,0,0
YAYA WIHARDI,5994413,S1 - Ilmu Komputer,527,295,0,0,4,6,,0,1,,1,1,,20,39,12,36,101,20,0,0,0
SUMAR HENDAYANA,5994178,S2 - Pendidikan Kimia,1.016,317,0,0,9,0,,8,0,,1,3,,30,193,19,0,0,0,0,0,0
MULYANA,5984860,S1 - Pendidikan Kepelatihan Olahraga,851,323,0,0,2,4,0,0,1,0,1,1,0,8,6,3,42,46,10,0,0,0
MOHAMMAD RINDU FAJAR ISLAMY,6722290,S1 - Ilmu Pendidikan Agama Islam,364,295,0,0,0,6,,0,6,,0,1,,0,0,0,40,111,17,0,0,0
SETIYA UTARI,5995367,S2 - Pendidikan Fisika,709,326,0,0,5,12,,2,16,,1,1,,25,65,13,89,695,61,0,0,0
NANDANG RUSMANA,5995335,S3 - Bimbingan Dan Konseling,538,297,0,0,2,10,0,0,11,0,1,1,0,11,12,7,93,601,46,0,0,0
MAMAT RUHIMAT,5979213,S3 - Pendidikan Ilmu Pengetahuan Sosial,822,344,0,0,4,9,0,3,5,0,1,1,0,24,22,8,102,291,50,0,0,0
RIZKY ROSJANUARDI,5978531,S2 - Pendidikan Matematika,1.382,428,0,0,3,7,,0,3,,1,1,,36,46,17,94,190,46,0,0,0
LILIT RUSYATI,6102491,S1 - Pendidikan IPA,586,295,0,0,3,5,,0,3,,1,3,,26,28,16,41,112,26,0,0,0
DIDI SUKYADI,5978293,S1 - Pendidikan Bahasa Inggris,723,324,0,0,4,12,1,1,13,0,1,1,3,14,35,8,83,459,37,1,4,1
RENDI RESTIANA SUKARDI,6745722,S1 - PGSD Kampus Cibiru,514,346,0,0,4,5,2,0,3,0,2,2,1,15,29,10,28,83,17,10,13,5
WIDI PURWIANINGSIH,6004348,S2 - Pendidikan Biologi,840,348,0,0,4,8,2,0,6,0,1,1,1,20,35,13,68,296,43,17,9,6
TRIANTI NUGRAHENI,5995195,S2 - Pendidikan Seni,455,297,0,0,1,4,0,0,1,0,1,1,1,4,4,1,57,57,18,11,0,0
EDI HENDRI MULYANA,5978623,S1 - PGPAUD Kampus Tasikmalaya,682,350,0,0,4,8,1,0,6,0,2,2,0,20,32,12,86,351,49,0,0,0
BUNYAMIN MAFTUH,6146282,S3 - Pendidikan Ilmu Pengetahuan Sosial,652,350,0,0,3,13,,1,15,,1,1,,14,31,9,103,792,50,0,0,0
RUDI SUSILANA,5985142,S3 - Pengembangan Kurikulum,748,353,0,0,2,14,1,0,17,0,1,1,1,9,7,4,100,5447,54,6,2,1
ENOK MARYANI,5975781,S3 - Pendidikan Geografi,1.004,343,0,0,4,13,0,1,20,0,1,1,0,34,63,19,180,979,91,0,0,0
NURTI BUDIYANTI,6715332,S1 - Manajemen Resort dan Leisure,386,329,0,0,0,8,0,0,8,0,0,1,0,0,0,0,75,206,31,0,0,0
HENDRIYANA,6658557,S1 - Rekayasa Perangkat Lunak,449,358,0,0,0,1,,0,0,,1,1,,5,0,0,20,9,4,0,0,0
NANDI,257576,S2 - Pendidikan Geografi,1.218,332,0,0,6,8,2,2,6,0,1,1,1,29,71,18,43,161,21,21,18,8
DINI HANDAYANI,6676481,Unknown,946,345,0,0,7,0,,5,0,,1,1,,41,92,21,0,0,0,0,0,0
APRI WIYONO,6186779,S1 - Pendidikan Teknik Otomotif,414,334,0,0,2,4,1,0,0,0,1,1,2,12,14,5,42,34,11,1,1,1
YANTY WIRZA,6658778,S2 - Pendidikan Bahasa Inggris,536,340,0,0,1,5,0,0,2,0,1,1,0,8,5,2,67,194,28,0,0,0
DINN WAHYUDIN,5983880,Profesi - Pendidikan Profesi Guru,1.301,340,0,0,3,16,,1,34,,1,1,,14,33,7,521,2045,198,0,0,0
AL AZHARY MASTA,6007709,S1 - Matematika,694,312,0,0,5,6,4,2,4,1,1,1,1,18,64,10,35,121,15,12,45,7
RAHMAT,5990804,S2 - Pendidikan Kewarganegaraan,536,312,0,0,1,5,1,1,4,0,2,1,1,4,15,2,51,323,14,6,6,1
SUPRIADI,5994493,S1 - PGSD Kampus Serang,527,331,0,0,2,6,,0,3,,1,2,,5,9,3,54,150,24,0,0,0
MUSTIKA NURAMALIA HANDAYANI,5979659,S1 - Pendidikan Teknologi Agroindustri,813,334,0,0,5,8,3,1,8,0,1,1,1,15,61,13,55,186,28,14,20,10
TAOPIK RAHMAN,5978619,S1 - PGPAUD Kampus Tasikmalaya,460,314,0,0,1,6,,0,4,,1,1,,3,1,1,66,153,32,0,0,0
"DR. KARLIMAH, M.PD.",5982248,S2 - Pendidikan Guru Sekolah Dasar Kampus Tasikmalaya,631,315,0,0,2,6,1,0,4,0,1,1,2,12,11,8,66,139,40,3,2,2
TITE JULIANTINE,5995777,"S1 - Pendidikan Jasmani, Kesehatan Dan Rekreasi",643,345,0,0,1,10,,0,14,,1,1,,3,2,1,101,391,52,0,0,0
NURJANAH,5995393,S1 - Pendidikan Matematika,492,313,0,0,3,6,,0,4,,1,4,,17,26,12,9,73,8,0,0,0
MUSTIKA FITRI,5994049,S1 - Ilmu Keolahragaan,639,313,0,0,2,5,1,0,0,0,1,2,2,7,7,3,55,58,19,3,2,2
RATIH HURRIYATI,5984336,S3 - Manajemen,2.319,974,0,0,8,16,4,4,31,2,1,1,3,50,146,26,315,4902,122,33,54,14
ANGGI SETIA LENGKANA,5993735,S1 - PGSD Penjas Kampus Sumedang,488,310,0,0,3,12,0,0,13,0,2,1,0,7,22,6,36,480,26,0,0,0
NANDANG BUDIMAN,5995137,S2 - Psikologi Pendidikan,422,313,0,0,2,12,0,0,12,0,1,1,1,10,9,4,42,1139,26,0,0,0
DITA AMANAH,5976422,S1 - Pendidikan Bisnis,649,314,0,0,2,16,0,0,29,0,1,1,1,4,13,3,145,1215,92,1,0,0
SRI ANGGRAENI,6006569,S2 - Pendidikan Biologi,1.441,978,0,0,5,10,,2,13,,1,1,,27,72,13,154,484,81,0,0,0
ACHMAD HUFAD,5977826,S3 - Pendidikan Khusus,1.605,1.065,0,0,5,10,3,3,11,2,2,1,4,44,110,22,144,435,64,12,39,5
ANA,5994248,S1 - Pendidikan Kesejahteraan Keluarga,1.842,1.084,0,0,6,11,3,4,12,1,1,1,2,64,155,34,127,493,73,20,38,10
TURMUDI,5991823,S3 - Pendidikan Matematika,1.920,1.132,0,0,7,12,,3,16,,2,1,,73,156,41,103,609,48,0,0,0
DIDI SURYADI,5994183,S3 - Pendidikan Matematika,2.295,1.153,0,0,7,25,,6,55,,2,1,,97,217,53,258,2709,169,0,0,0
IDA HAMIDAH,5978332,S1 - Pendidikan Teknik Otomotif,2.300,1.124,0,0,9,14,4,8,20,2,1,1,2,66,340,40,135,894,78,23,97,19
SITI NURBAYANI K,5976314,S2 - Pendidikan Sosiologi,907,470,0,0,1,6,1,0,4,0,1,1,1,6,3,2,86,193,39,9,2,2
IWAN SETIAWAN,5995430,S1 - Pendidikan Geografi,758,475,0,0,3,4,,1,1,,3,1,,19,7,6,9,43,6,0,0,0
ENDI SUHENDI,5976806,S1 - Fisika,2.036,981,0,0,7,16,4,6,16,2,1,1,1,58,217,35,117,771,68,41,68,18
NUUR WACHID ABDUL MAJID,6054692,S1 - Pendidikan Sistem dan Teknologi Informasi Kampus P,725,478,0,0,3,12,1,1,12,0,3,1,1,11,31,8,77,315,43,5,2,2
DIANA ROCHINTANIAWATI,6140567,S1 - Pendidikan IPA,981,487,0,0,3,14,,0,18,,2,1,,21,35,18,98,1871,73,0,0,0
AL JUPRI,5974523,S1 - Pendidikan Matematika,2.535,1.136,0,0,7,15,4,4,25,2,1,1,2,67,265,39,150,1070,103,46,106,23
SUPRIH WIDODO,5978120,S1 - Pendidikan Sistem dan Teknologi Informasi Kampus P,523,323,0,0,2,7,1,0,2,0,1,1,2,14,16,7,83,154,25,3,3,2
PUPUNG PURNAWARMAN,5979299,S3 - Pendidikan Bahasa Inggris,813,487,0,0,4,10,2,2,11,1,1,1,5,15,62,10,83,685,40,6,21,3
DEDY ACHMAD KURNIADY,5993195,S2 - Administrasi Pendidikan,967,380,0,0,2,8,1,0,7,0,1,1,1,27,13,9,99,300,43,16,1,1
ANA RATNA WULAN,5995001,S1 - Pendidikan Biologi,978,465,0,0,3,14,2,0,21,0,2,1,2,27,37,16,123,720,88,21,13,9
EGA TAQWALI BERMAN,5979284,D3 - Teknik Mesin,775,381,0,0,2,6,2,0,4,0,1,1,1,14,14,10,78,231,36,14,13,8
CUCUN SUNAENGSIH,5993226,S1 - PGSD Kampus Sumedang,565,386,0,0,2,9,0,0,8,0,1,1,0,10,9,6,82,352,38,0,0,0
HAFIZIANI EKA PUTRI,5994008,S3 - Pendidikan Geografi,523,388,0,0,2,10,,0,11,,1,2,,12,14,6,69,320,39,0,0,0
AHMAD MUDZAKIR,5994127,S2 - Pendidikan Kimia,1.147,473,0,0,6,12,,2,16,,1,1,,40,97,20,115,637,60,0,0,0
FUAD ABDUL HAMIED,5978397,S3 - Pendidikan Bahasa Inggris,824,389,0,0,5,15,,2,21,,1,2,,18,57,11,74,987,49,0,0,0
SUMARDI,6006460,S1 - PGPAUD Kampus Tasikmalaya,1.121,393,0,0,0,19,,0,44,,0,2,,0,0,0,994,1682,372,0,0,0
ARJUNI BUDI PANTJAWATI,5994602,S1 - Pendidikan Teknik Elektro,855,398,0,0,4,6,4,0,1,0,1,1,1,31,49,15,44,82,21,26,31,11
MOHAMMAD ALI,5980905,S3 - Pengembangan Kurikulum,703,399,0,0,3,27,,1,42,,1,1,,20,45,13,135,17415,84,0,0,0
DISMAN,5991816,S3 - Pendidikan Ekonomi,927,496,0,0,5,7,1,2,6,0,1,1,1,42,60,11,36,169,21,8,1,1
ASEP YUDI PERMANA,5977218,S2 - Arsitektur,843,503,0,0,2,11,0,0,14,0,1,1,1,10,10,4,90,345,48,2,0,0
DUDEN SAEPUZAMAN,258293,S1 - Pendidikan Fisika,1.237,498,0,0,5,12,4,1,19,0,1,1,1,29,71,19,108,479,67,23,34,11
PRANA DWIJA ISWARA,5977036,S2 - Pendidikan Dasar,1.016,505,0,0,3,11,2,0,17,0,1,1,1,16,38,10,149,550,79,5,6,2
BETA PARAMITA,258001,S2 - Arsitektur,1.240,461,0,0,6,8,5,2,7,1,1,1,1,38,88,21,95,197,34,21,50,9
DIDI SUHERDI,5978101,S3 - Pendidikan Bahasa Inggris,852,511,0,0,4,13,0,2,17,0,1,1,0,17,41,11,114,653,55,0,0,0
AHMAD YANI,5975048,S3 - Pendidikan Geografi,937,515,0,0,4,0,0,1,0,0,1,19,0,36,49,18,0,0,0,0,0,0
YULIANETA,6122021,S2 - Pendidikan Bahasa Indonesia Bagi Penutur Asing,773,519,0,0,0,5,,0,1,,1,1,,4,0,0,98,69,19,0,0,0
SOFYAN SAURI,5979751,S2 - Pendidikan Bahasa Arab,652,359,0,0,1,17,,0,33,,1,1,,3,6,1,193,1091,93,0,0,0
IWAN KUSTIAWAN,5996452,D3 - Teknik Elektro,721,361,0,0,4,6,1,2,3,0,1,2,2,29,85,10,47,158,21,0,0,0
RIKI RIDWANA,6659655,D3 - Survey Pemetaan dan Informasi Geografis,512,398,0,0,2,5,1,0,0,0,3,1,3,9,11,4,42,54,18,5,7,2
ATEP SUJANA,5993423,S1 - PGSD Kampus Sumedang,1.253,496,0,0,4,16,,0,26,,2,1,,14,29,10,159,1160,73,0,0,0
RAHMAN,5991818,S3 - Pendidikan Dasar,792,462,0,0,0,5,0,0,3,0,0,1,0,0,0,0,238,152,42,0,0,0
DASIM BUDIMANSYAH,5979876,S3 - Pendidikan Kewarganegaraan,898,370,0,0,4,26,0,0,39,0,3,1,1,18,28,9,196,3029,109,0,0,0
SYAMSU YUSUF LN,5991749,S2 - Bimbingan Dan Konseling,772,372,0,0,2,31,,0,59,,1,1,,11,13,3,195,12922,135,0,0,0
ADANG SUHERMAN,5989871,S3 - Pendidikan Olahraga,1.105,519,0,0,4,15,1,2,27,0,1,1,1,29,46,11,135,1860,92,10,4,3
MUHAMMAD HANIF,6747537,S1 - PGSD Kampus Serang,402,364,0,0,3,6,2,2,5,0,2,1,0,8,34,6,23,392,10,3,10,3
NANA SUPRIATNA,5993532,S3 - Pendidikan Sejarah,722,367,0,0,2,14,,0,19,,1,3,,12,17,8,187,978,98,0,0,0
TATANG HERMAN,5986217,S3 - Pendidikan Dasar,2.083,1.268,0,0,8,22,,7,49,,1,1,,88,245,56,223,2124,146,0,0,0
ASEP SURYANA,5993362,S3 - Administrasi Pendidikan,834,368,0,0,1,10,0,0,10,0,1,1,1,7,3,3,54,437,33,8,0,0
JUNTIKA NURIHSAN ,5987356,S2 - Psikologi Pendidikan,683,370,0,0,2,21,0,0,39,0,1,3,1,13,9,4,143,5278,94,0,0,0
VINA ADRIANY,5979511,S2 - Pendidikan Anak Usia Dini,992,363,0,0,5,12,6,2,12,3,2,2,2,13,76,11,27,349,21,16,76,9
DADI RUSDIANA,5974813,S2 - Pendidikan Fisika,2.387,1.218,0,0,10,18,0,11,37,0,1,1,0,86,323,56,229,1280,138,41,99,21
IDA KANIAWATI,6005868,S3 - Pendidikan Ilmu Pengetahuan Alam,2.397,1.312,0,0,12,25,,13,49,,1,2,,96,410,58,221,1953,148,0,0,0
WAHYU SOPANDI,5989208,S3 - Pendidikan Dasar,2.197,1.333,0,0,6,18,4,1,45,0,2,2,2,57,132,39,236,1333,142,33,48,20
DENI DARMAWAN,5973309,S3 - Pengembangan Kurikulum,2.153,1.233,0,0,5,31,,0,75,,1,1,,18,42,11,368,10417,219,0,0,0
BAMBANG SUPRIATNO,5992701,S2 - Pendidikan Biologi,977,607,0,0,2,10,,0,13,,1,1,,18,10,6,122,393,64,0,0,0
KOKOM KOMALASARI,5984369,S2 - Pendidikan Kewarganegaraan,1.367,607,0,0,9,18,3,9,27,1,1,1,4,23,169,17,135,4990,74,12,26,4
ANDHY SETIAWAN,6040311,S1 - Fisika,1.281,639,0,0,5,9,3,2,8,0,1,1,3,22,48,13,75,247,38,0,0,0
ARI WIDODO,257822,S2 - Pendidikan Ilmu Pengetahuan Alam,2.794,1.297,0,0,7,23,3,5,54,0,1,2,1,65,187,42,253,2537,175,49,57,26
MUNIR,5974517,S2 - Pendidikan Ilmu Komputer,2.094,649,0,0,5,12,4,1,15,0,2,2,1,45,105,30,116,601,59,34,43,19
SELLY FERANIE,5978969,S1 - Fisika,1.520,650,0,0,6,12,5,4,15,3,1,1,1,34,123,21,105,443,64,23,80,17
AGUS RUSDIANA,5975690,S1 - Ilmu Keolahragaan,2.732,1.299,0,0,10,8,2,10,7,0,1,2,1,27,22,9,79,203,43,10,4,2
AAN KOMARIAH,6101488,S3 - Administrasi Pendidikan,1.504,654,0,0,2,22,2,0,33,0,1,1,1,39,16,12,205,8375,113,35,14,4
IRMA DARMAWATI,6725313,D3 - Keperawatan,1.081,665,0,0,1,5,0,0,0,0,1,1,1,13,4,3,63,78,26,1,0,0
WAHYUDIN,5979725,S2 - Pendidikan Ilmu Komputer,1.203,682,0,0,6,4,,5,0,,2,2,,70,186,45,10,21,7,0,0,0
DR.PARLINDUNGAN SINAGA M.SI,5989835,S3 - Pendidikan Ilmu Pengetahuan Alam,1.323,675,0,0,5,14,,4,21,,1,1,,50,97,25,140,706,92,0,0,0
R ASEP KADAROHMAN,5984423,S3 - Pendidikan Ilmu Pengetahuan Alam,1.012,431,0,0,8,15,,7,22,,1,1,,33,302,21,90,1209,58,0,0,0
ISROK ATUN,5993192,S1 - PGSD Kampus Sumedang,679,432,0,0,4,8,,2,8,,1,1,,19,49,12,58,406,42,0,0,0
GHULLAM HAMDU,5994188,S2 - Pendidikan Guru Sekolah Dasar Kampus Tasikmalaya,712,433,0,0,2,13,,0,18,,1,1,,7,5,3,131,1671,78,0,0,0
ARIF ISMAIL,5974521,D3 - Survey Pemetaan dan Informasi Geografis,552,433,0,0,3,7,1,0,4,0,1,2,1,8,7,3,28,111,18,5,3,3
ARIF HUSEIN LUBIS,6755247,S1 - Pendidikan Bahasa Korea,660,439,0,0,3,7,2,1,3,0,1,1,2,14,43,11,40,194,24,4,6,4
EYUS SUDIHARTINIH,5975856,S1 - Pendidikan Matematika,919,637,0,0,2,6,1,0,5,0,1,1,1,7,11,4,70,173,39,4,3,2
BUDI MULYANTI,5993841,S1 - Teknik Elektro,2.430,1.218,0,0,8,9,5,5,9,4,1,1,3,84,271,48,132,520,68,40,124,25
HARRY FIRMAN,6132557,Unknown,1.223,444,0,0,5,15,,3,27,,2,1,,47,115,30,161,1215,115,0,0,0
HAMIDIE RONALD DANIEL RAY,5978997,S1 - Ilmu Keolahragaan,1.069,439,0,0,5,7,3,1,4,1,1,2,4,22,117,9,92,251,30,14,95,7
HARRY FIRMAN,6132494,Unknown,1.214,444,0,0,5,15,,3,27,,2,1,,47,115,30,161,1218,115,0,0,0
SYARIP HIDAYAT,5996277,S2 - Pendidikan Guru Sekolah Dasar Kampus Tasikmalaya,786,445,0,0,2,11,,0,15,,1,1,,19,10,7,357,637,144,0,0,0
VANESSA GAFFAR,5993246,S3 - Manajemen,1.046,450,0,0,6,13,3,1,22,0,3,1,2,20,74,14,108,853,67,15,24,9
ANDI SUHANDI,6005865,S2 - Pendidikan Fisika,3.249,1.787,0,0,13,21,2,20,61,0,1,1,1,132,556,90,334,2013,204,3,7,1
ACHMAD SAMSUDIN,257767,S1 - Pendidikan Fisika,4.708,2.748,0,0,14,26,9,21,61,8,1,1,2,166,810,109,347,2926,224,125,326,64
NANANG WINARNO,6079273,S1 - Pendidikan IPA,765,527,0,0,3,8,2,0,7,0,1,3,2,25,33,14,43,254,36,11,11,7
DADANG JUANDI,6042761,S3 - Pendidikan Matematika,1.790,1.405,0,0,6,14,,1,25,,1,2,,70,100,31,176,732,89,0,0,0
LILI ADI WIBOWO,5984836,S2 - Manajemen,1.011,528,0,0,4,12,,0,14,,1,3,,40,43,12,223,689,101,0,0,0
WAHYUDIN,5991845,S3 - Pendidikan Dasar,3.181,1.852,0,0,6,15,,5,21,,2,2,,70,186,45,438,1130,144,0,0,0
ADE GAFAR ABDULLAH,257412,S2 - Pendidikan Teknologi dan Kejuruan,5.706,2.177,0,0,11,17,9,15,36,9,1,1,1,190,607,119,325,1718,195,150,331,75
TEDI SUPRIYADI,5993317,S1 - PGSD Penjas Kampus Sumedang,977,736,0,0,7,10,0,3,10,0,1,1,0,34,116,24,31,276,25,6,337,6
DARHIM,6166301,S3 - Pendidikan Matematika,1.262,757,0,0,7,10,,4,11,,1,1,,51,163,35,74,395,44,0,0,0
MUSLIM,6028471,S2 - Pendidikan Fisika,880,530,0,0,4,9,,1,8,,1,1,,25,44,17,55,279,30,0,0,0
ASEP BAYU DANI NANDIYANTO,5974504,S2 - Kimia,12.607,5.306,0,0,31,39,27,86,133,63,1,2,1,296,4214,221,477,6420,325,217,2987,159
MUMU KOMARO,5993878,S1 - Pendidikan Teknik Mesin,1.117,530,0,0,3,8,2,0,5,0,1,1,1,27,33,12,104,199,49,23,9,5
ROER EKA PAWINANTO,6745886,S1 - Pendidikan Teknik Otomasi Industri dan Robotika,1.521,735,0,0,9,9,6,6,9,3,1,1,2,46,246,28,53,429,32,27,131,21
