name,sinta_id,title,quartile,journal,author_order,creator,year,cited
ENDI SUHENDI,5976806,Diagnosis of Student's Misconception on Momentum and Impulse Trough Inquiry Learning with Computer Simulation (ILCS),Q4 Journal,Journal of Physics: Conference Series,Author Order : 2 of 14,Creator : Amalia S.A.,2019,4 cited
ENDI SUHENDI,5976806,Modeling of armchair graphene nanoribbon tunnel field effect transistors for low power applications,Q4 Journal,Journal of Semiconductor Technology and Science,Author Order : 1 of 5,Creator : Suhendi E.,2019,3 cited
ENDI SUHENDI,5976806,Collaboration skills-based multimedia-based integrated instruction (CS-MBI,Q4 Journal,Journal of Physics: Conference Series,Author Order : 3 of 7,Creator : Setiawan Y.,2019,2 cited
ENDI SUHENDI,5976806,Improving students' conceptual knowledge on optical device materials with computer simulations,Q4 Journal,Journal of Physics: Conference Series,Author Order : 5 of 5,Creator : Rahmadani S.,2019,0 cited
SITI FATIMAH,5978161,Welcome message from the dean of FPMIPA universitas pendidikan Indonesia,no-Q Journal,Proceeding - 2017 3rd International Conference on Science in Information Technology: Theory and Appl,Author Order : 1 of 1,Creator : Fatimah S.,2018,0 cited
SITI FATIMAH,5978161,Inquiry based learning: A student centered learning to develop mathematical habits of mind,Q4 Journal,Journal of Physics: Conference Series,Author Order : 3 of 5,Creator : Handayani A.,2018,7 cited
SITI FATIMAH,5978161,A robust approach to analyzing the factors influencing quality education in Indonesia,Q4 Journal,New Educational Review,Author Order : 3 of 3,Creator : Mahmudah U.,2017,1 cited
SITI FATIMAH,5978161,Development of the teaching simulator based on animated film to strengthening pedagogical competencies of prospective teachers,Q4 Journal,AIP Conference Proceedings,Author Order : 1 of 6,Creator : Fatimah S.,2017,1 cited
ENDI SUHENDI,5976806,Modelling of drain current in tunnelling field-effect transistor based on strained armchair graphene nanoribbons,Q4 Journal,IOP Conference Series: Materials Science and Engineering,Author Order : 1 of 4,Creator : Suhendi E.,2017,0 cited
ENDI SUHENDI,5976806,Preface,Q4 Journal,Journal of Physics: Conference Series,Author Order : 7 of 10,Creator : Hidayat T.,2017,0 cited
ENDI SUHENDI,5976806,Improving Students' Science Process Skills through Simple Computer Simulations on Linear Motion Conceptions,Q4 Journal,Journal of Physics: Conference Series,Author Order : 4 of 5,Creator : Siahaan P.,2017,35 cited
DEDI KOSWARA,5987715,THE ANALYTICAL SCORING ASSESSMENT USAGE TO EXAMINE SUNDANESE STUDENTS’ PERFORMANCE IN WRITING DESCRIPTIVE TEXTS,Q2 Journal,Cakrawala Pendidikan,Author Order : 1 of 4,Creator : Koswara D.,2021,1 cited
DIAN ANGGRAINI,6681986,Comparing various genetic algorithm approaches for multiple-choice multi-dimensional knapsack problem (mm-KP),Q2 Journal,International Journal of Intelligent Engineering and Systems,Author Order : 2 of 5,Creator : Syarif A.,2020,5 cited
SITI FATIMAH,5978161,The implementation of multiple intelligences based teaching model to improve mathematical problem solving ability for student of junior high school,Q4 Journal,AIP Conference Proceedings,Author Order : 2 of 3,Creator : Fasni N.,2017,2 cited
SITI FATIMAH,5978161,Developing Teaching Material Software Assisted for Numerical Methods,Q4 Journal,Journal of Physics: Conference Series,Author Order : 3 of 3,Creator : Handayani A.,2017,1 cited
SITI FATIMAH,5978161,Students' Algebraic Thinking Process in Context of Point and Line Properties,Q4 Journal,Journal of Physics: Conference Series,Author Order : 3 of 3,Creator : Nurrahmi H.,2017,0 cited
SITI FATIMAH,5978161,Developing Teaching Material Software Assisted for Numerical Methods,Q4 Journal,Journal of Physics: Conference Series,Author Order : 3 of 3,Creator : Handayani A.D.,2017,1 cited
SITI FATIMAH,5978161,Borda application of selection planning scheduling method in dock engineering consultants in Central Sulawesi Province Indonesia,Q4 Journal,"Corporate Board: Role, Duties and Composition",Author Order : 1 of 3,Creator : Fatimah S.,2015,0 cited
SITI FATIMAH,5978161,Devoting to enhance the critical thinking skill and the creativity of students in seventh grade through PBL model with JAS approachment,no-Q Journal,Jurnal Pendidikan IPA Indonesia,Author Order : 1 of 1,Creator : Fatimah S.,2015,2 cited
SITI FATIMAH,5978161,Suppressing flow-induced vibrations by parametric excitation,Q1 Journal,Nonlinear Dynamics,Author Order : 1 of 2,Creator : Fatimah S.,2003,32 cited
ANGGA M SYAHID,6681782,Badminton overhead backhand and forehand smashes: A biomechanical analysis approach,Q2 Journal,Journal of Physical Education and Sport,Author Order : 3 of 5,Creator : Rusdiana A.,2021,0 cited
ANGGA M SYAHID,6681782,The Using of an Elevation Training Mask: Does It Improve the Physiological Abilities of Futsal Players?,Q4 Journal,Malaysian Journal of Medicine and Health Sciences,Author Order : 3 of 3,Creator : Sumpena A.,2021,0 cited
ANGGA M SYAHID,6681782,3d biomechanical analysis of swimming start movements using a portable smart platform with android pie,Q3 Journal,Journal of Engineering Science and Technology,Author Order : 7 of 7,Creator : RUSDIANA A.,2021,0 cited
ANGGA M SYAHID,6681782,Biomechanical analysis of an overhead baseball throwing movement associated with a cardiorespiratory fatigue effect,Q3 Journal,Open Sports Sciences Journal,Author Order : 0 of 4,Creator : Rusdiana A.,2020,1 cited
ANGGA M SYAHID,6681782,Effect of fatigue on the kinematic variables of jump header performance in soccer,Q2 Journal,Journal of Physical Education and Sport,Author Order : 4 of 4,Creator : Rusdiana A.,2020,3 cited
ANGGA M SYAHID,6681782,Effect of Fatigue on Biomechanical Variable Changes in Overhead Badminton Jump Smash,Q3 Journal,Annals of Applied Sport Science,Author Order : 5 of 6,Creator : Rusdiana A.,2020,3 cited
ENDI SUHENDI,5976806,The development of critical thinking skills and collaborative skill profiles aided by multimedia-based integrated instruction on light refraction material,no-Q Journal,Universal Journal of Educational Research,Author Order : 5 of 5,Creator : Siahaan P.,2020,2 cited
ENDI SUHENDI,5976806,A multitier open-ended momentum and impulse (MOMI) instrument: Developing and assessing quality of conception of 11,no-Q Journal,International Journal of Scientific and Technology Research,Author Order : 4 of 5,Creator : Adimayuda R.,2020,3 cited
ENDI SUHENDI,5976806,Identification of Creative Thinking Ability of Malay Ethnic Students in Archimedes Law with Rasch Analysis Model (RAM): A Case Study,Q4 Journal,Journal of Physics: Conference Series,Author Order : 2 of 4,Creator : Andriani N.,2020,1 cited
ENDI SUHENDI,5976806,Facilitating conceptual changes of high school students regarding concepts in static electricity and DC circuits through the use of VMSCDCCText,no-Q Journal,Universal Journal of Educational Research,Author Order : 3 of 6,Creator : Suhandi A.,2020,1 cited
KAMIN SUMARDI,5978127,Experimental demonstration for enhancing vocational students’ comprehension on heat transfer through conduction and radiation of light bulb,Q3 Journal,Journal of Technical Education and Training,Author Order : 4 of 4,Creator : Nandiyanto A.B.D.,2020,22 cited
KAMIN SUMARDI,5978127,Investigation of reducing electricity consumption in the refrigerator by using domestic refrigerant MC-22,Q4 Journal,IOP Conference Series: Materials Science and Engineering,Author Order : 3 of 5,Creator : Mutaufiq M.,2020,0 cited
KAMIN SUMARDI,5978127,Experimental study of hydrocarbon refrigerant (R-1270) to replace R-32 in residential air conditioning system,Q4 Journal,Journal of Physics: Conference Series,Author Order : 1 of 3,Creator : Sumardi K.,2020,1 cited
KAMIN SUMARDI,5978127,Survey of use mobile augmented reality for teaching materials,Q4 Journal,Journal of Physics: Conference Series,Author Order : 2 of 2,Creator : Fadhil M.,2019,0 cited
KAMIN SUMARDI,5978127,Requirement analysis of work competence of vocational graduates in heavy equipment industry,Q3 Journal,IOP Conference Series: Materials Science and Engineering,Author Order : 2 of 4,Creator : Asfiyanur E.,2018,0 cited
KAMIN SUMARDI,5978127,The Relevance of Vocational High School Curriculum with the Requirement of the Heavy Equipment Industries,Q3 Journal,IOP Conference Series: Materials Science and Engineering,Author Order : 2 of 4,Creator : Asfiyanur E.,2018,1 cited
DEDI KOSWARA,5987715,A semiotic analysis of toponymy in classic Sundanese literary texts,Q1 Journal,Indonesian Journal of Applied Linguistics,Author Order : 1 of 2,Creator : Koswara D.,2021,0 cited
DIAN ANGGRAINI,6681986,Design and implementation of system prediction and traffic conditions visualization in two dimensional map (Case study: Bandung city),no-Q Journal,"Proceedings of the 2016 6th International Conference on System Engineering and Technology, ICSET 201",Author Order : 1 of 6,Creator : Anggraini D.,2017,4 cited
DIAN ANGGRAINI,6681986,Design and implementation of web based real time chat interfacing server,no-Q Journal,"Proceedings of the 2016 6th International Conference on System Engineering and Technology, ICSET 201",Author Order : 4 of 6,Creator : Henriyan D.,2017,1 cited
DIAN ANGGRAINI,6681986,Comparison of accuracy level K-Nearest Neighbor algorithm and support vector machine algorithm in classification water quality status,no-Q Journal,"Proceedings of the 2016 6th International Conference on System Engineering and Technology, ICSET 201",Author Order : 3 of 4,Creator : Danades A.,2017,27 cited
RICHE CYNTHIA JOHAN,5977502,Cultural Literacy: Getting to Know Digital-Based Folklore,no-Q Journal,"2019 5th International Conference on Education and Technology, ICET 2019",Author Order : 1 of 6,Creator : Johan R.C.,2019,0 cited
SITI FATIMAH,5978161,Structural and Mechanical Properties of Carbon-Carbon Biocomposites,Q3 Journal,IOP Conference Series: Materials Science and Engineering,Author Order : 3 of 5,Creator : Tahir D.,2019,0 cited
SITI FATIMAH,5978161,Analysis of problem solving ability in social arithmetics,Q4 Journal,Journal of Physics: Conference Series,Author Order : 4 of 4,Creator : Fajriah F.,2019,0 cited
NURYADI,6129407,Human resource development through novice coach education and training in Indonesia,Q4 Journal,International Journal of Human Movement and Sports Sciences,Author Order : 4 of 4,Creator : Darmadi D.,2020,0 cited
NURYADI,6129407,The impact of beta brain waves in improving cognitive function through brain jogging applications,Q4 Journal,International Journal of Human Movement and Sports Sciences,Author Order : 3 of 5,Creator : Hendrayana Y.,2020,0 cited
NURYADI,6129407,Life skills transfer through outdoor education for positive youth development,no-Q Journal,Universal Journal of Educational Research,Author Order : 4 of 4,Creator : Akin Y.,2020,0 cited
NURYADI,6129407,Response of cortisol hormone to students’ anxiety and focus,Q3 Journal,Journal of Engineering Science and Technology,Author Order : 1 of 5,Creator : Nuryadi,2019,1 cited
NURYADI,6129407,Fatigue Impact to Mechanical Movement of Maximal Instep Kicking in Soccer,Q4 Journal,IOP Conference Series: Materials Science and Engineering,Author Order : 7 of 7,Creator : Rusdiana A.,2017,0 cited
NURYADI,6129407,"The Effect of Physical Fitness and Healthy Behavior toward Concentration, Anxiety and Cortisol Hormone",Q4 Journal,IOP Conference Series: Materials Science and Engineering,Author Order : 2 of 3,Creator : Darajat J.,2017,2 cited
DIKDIK ZAFAR SIDIK,5989589,The Improvement of Power Endurance and Aerobic through Interval Method by Using Vest Jackets,Q3 Journal,International Journal of Human Movement and Sports Sciences,Author Order : 1 of 2,Creator : Sidik D.Z.,2022,0 cited
DIKDIK ZAFAR SIDIK,5989589,The Using of an Elevation Training Mask: Does It Improve the Physiological Abilities of Futsal Players?,Q4 Journal,Malaysian Journal of Medicine and Health Sciences,Author Order : 2 of 3,Creator : Sumpena A.,2021,0 cited
DIKDIK ZAFAR SIDIK,5989589,The Impact of Tabata Protocol to Increase the Anaerobic and Aerobic Capacity,Q4 Journal,IOP Conference Series: Materials Science and Engineering,Author Order : 2 of 2,Creator : Sumpena A.,2017,0 cited
SITI FATIMAH,5978161,Third version of Weak Orlicz–Morrey spaces and its inclusion properties,Q1 Journal,Indonesian Journal of Science and Technology,Author Order : 2 of 3,Creator : Masta A.A.,2019,2 cited
SITI FATIMAH,5978161,Mathematical Representation Ability of Prospective Student Teacher in Resolving Transformation Geometry Problems Reviewed in Epistemology Aspect,Q4 Journal,IOP Conference Series: Earth and Environmental Science,Author Order : 3 of 5,Creator : Nirawati R.,2020,0 cited
SITI FATIMAH,5978161,Analysis of multi-representation ability to solve algebra problem,Q4 Journal,Journal of Physics: Conference Series,Author Order : 3 of 4,Creator : Nirawati R.,2020,0 cited
SITI FATIMAH,5978161,Students’ thinking: Arithmetic in solving a mathematical problem,Q4 Journal,Journal of Physics: Conference Series,Author Order : 3 of 3,Creator : Wahyuni R.,2020,1 cited
SITI FATIMAH,5978161,Several Properties of Discrete Orlicz Spaces,no-Q Journal,"Proceedings of the 7th Mathematics, Science, and Computer Science Education International Seminar, M",Author Order : 2 of 3,Creator : Prayoga P.S.,2020,0 cited
SITI FATIMAH,5978161,Students' mathematical problem-solving ability based on teaching models intervention and cognitive style,Q1 Journal,Journal on Mathematics Education,Author Order : 3 of 3,Creator : Son A.L.,2020,9 cited
SITI FATIMAH,5978161,Analysis of multi-representation ability to solve algebra problem,Q4 Journal,Journal of Physics: Conference Series,Author Order : 3 of 4,Creator : Nirawati R.,2020,0 cited
SITI FATIMAH,5978161,Several Properties of Discrete Orlicz Spaces,no-Q Journal,"Proceedings of the 7th Mathematics, Science, and Computer Science Education International Seminar, M",Author Order : 2 of 3,Creator : Prayoga P.S.,2020,0 cited
SITI FATIMAH,5978161,Students’ thinking: Arithmetic in solving a mathematical problem,Q4 Journal,Journal of Physics: Conference Series,Author Order : 3 of 3,Creator : Wahyuni R.,2020,1 cited
SITI FATIMAH,5978161,Hölder's inequality in Discrete Morrey spaces,no-Q Journal,"Proceedings of the 7th Mathematics, Science, and Computer Science Education International Seminar, M",Author Order : 4 of 4,Creator : Masta A.A.,2020,0 cited
SITI FATIMAH,5978161,Suppressing flow-induced vibrations by parametric excitation,Q1 Journal,Nonlinear Dynamics,Author Order : 1 of 2,Creator : Fatimah S.,2003,32 cited
SITI FATIMAH,5978161,Bifurcations in an autoparametric system in 1:1 internal resonance with parametric excitation,Q1 Journal,International Journal of Non-Linear Mechanics,Author Order : 1 of 2,Creator : Fatimah S.,2002,16 cited
SITI FATIMAH,5978161,Bifurcations in an autoparametric system in 1:1 internal resonance with parametric excitation,Q1 Journal,International Journal of Non-Linear Mechanics,Author Order : 1 of 2,Creator : Fatimah S.,2002,16 cited
ENDI SUHENDI,5976806,Modeling of tunneling current of electron in bilayer armchair graphene nanoribbons p-n junction diode using transfer matrix method,Q3 Journal,International Journal of Nanoelectronics and Materials,Author Order : 4 of 4,Creator : Anjaningsih I.,2020,0 cited
KAMIN SUMARDI,5978127,Development of Standard Operational Procedure (SOP) for the implementation of lath machining practice in Vocational High School (SMK),Q3 Journal,IOP Conference Series: Materials Science and Engineering,Author Order : 2 of 4,Creator : Putra R.,2018,0 cited
KAMIN SUMARDI,5978127,The effect of environment temperature and humidity on corrosion rate of a condensing unit,Q4 Journal,Pertanika Journal of Science and Technology,Author Order : 1 of 2,Creator : Sumardi K.,2017,0 cited
SITI FATIMAH,5978161,Structural and bonding properties of honeycomb structure of composite nanoparticles Fe,Q4 Journal,Journal of Physics: Conference Series,Author Order : 5 of 5,Creator : Ilyas S.,2019,3 cited
SITI FATIMAH,5978161,Math anxiety performance of the 8,Q4 Journal,Journal of Physics: Conference Series,Author Order : 3 of 4,Creator : Amam A.,2019,1 cited
SITI FATIMAH,5978161,Cybersastra phenomenon as an implementation of Information and Communication Technology (ICT) in lit,no-Q Journal,International Journal of Engineering and Technology(UAE),Author Order : 0 of 0,Creator : Setyorini R.,2018,0 cited
SITI FATIMAH,5978161,Project-based science learning and pre-service teachers’ science literacy skill and creative thinking,Q4 Journal,Cakrawala Pendidikan,Author Order : 5 of 5,Creator : Chrysti Suryandari K.,2018,9 cited
SITI FATIMAH,5978161,The Learning of Science-Based Laboratory Experiments to Improve the Student's Scientific Attitudes on Optical Materials,Q4 Journal,Journal of Physics: Conference Series,Author Order : 2 of 3,Creator : Susanti N.,2018,2 cited
SITI FATIMAH,5978161,Improving mathematics self-concept through comprehensive mathematics instruction model,Q4 Journal,Journal of Physics: Conference Series,Author Order : 3 of 3,Creator : Delima N.,2019,0 cited
SITI FATIMAH,5978161,An analysis to student error of algebraic problem solving based on polya and newman theory,Q4 Journal,Journal of Physics: Conference Series,Author Order : 3 of 3,Creator : Son A.L.,2019,4 cited
SITI FATIMAH,5978161,Physical characteristics of soft tissue phantom from silicone rubber based vulcanization system,Q4 Journal,Materials Science Forum,Author Order : 5 of 6,Creator : Ansar A.,2019,2 cited
SITI FATIMAH,5978161,Hölder's inequality in Discrete Morrey spaces,no-Q Journal,"Proceedings of the 7th Mathematics, Science, and Computer Science Education International Seminar, M",Author Order : 4 of 4,Creator : Masta A.A.,2020,0 cited
SITI FATIMAH,5978161,Students' logical mathematical intelligence in completing mathematical problems with natural disaster context,Q4 Journal,Journal of Physics: Conference Series,Author Order : 1 of 3,Creator : Fatimah S.,2020,0 cited
SITI FATIMAH,5978161,Teaching Simulator Development Based on Finite State Machine and Big Five Personality,no-Q Journal,"Proceedings of the 7th Mathematics, Science, and Computer Science Education International Seminar, M",Author Order : 2 of 10,Creator : Setiawan W.,2020,0 cited
SITI FATIMAH,5978161,Didactic trajectory of learning device development using project-based learning,Q4 Journal,Journal of Physics: Conference Series,Author Order : 3 of 3,Creator : Sumarni,2020,0 cited
SITI FATIMAH,5978161,Generalized Hölder's inequality in Orlicz sequence spaces,no-Q Journal,"Proceedings of the 7th Mathematics, Science, and Computer Science Education International Seminar, M",Author Order : 1 of 5,Creator : Fatimah S.,2020,0 cited
SITI FATIMAH,5978161,Students' mathematical problem-solving ability based on teaching models intervention and cognitive style,Q1 Journal,Journal on Mathematics Education,Author Order : 3 of 3,Creator : Son A.L.,2020,9 cited
SITI FATIMAH,5978161,Teaching Simulator Development Based on Finite State Machine and Big Five Personality,no-Q Journal,"Proceedings of the 7th Mathematics, Science, and Computer Science Education International Seminar, M",Author Order : 2 of 10,Creator : Setiawan W.,2020,0 cited
SITI FATIMAH,5978161,Students' logical mathematical intelligence in completing mathematical problems with natural disaster context,Q4 Journal,Journal of Physics: Conference Series,Author Order : 1 of 3,Creator : Fatimah S.,2020,0 cited
ENDI SUHENDI,5976806,Modeling of tunneling current in bilayer armchair graphene nanoribbonâˆ’tunneling field effect transistor by using airy wave function approach,no-Q Journal,PervasiveHealth: Pervasive Computing Technologies for Healthcare,Author Order : 6 of 6,Creator : Ulhaq S.D.,2020,0 cited
ENDI SUHENDI,5976806,Modeling of tunneling current of a bilayer armchair graphene nanoribbon-based p-n junction diode using airy wave-function,no-Q Journal,PervasiveHealth: Pervasive Computing Technologies for Healthcare,Author Order : 6 of 6,Creator : Fadhillah A.,2020,0 cited
ENDI SUHENDI,5976806,Analyzing students' misconceptions about Newton's Laws through Four-Tier Newtonian Test (FTNT),Q1 Journal,Journal of Turkish Science Education,Author Order : 6 of 6,Creator : Kaniawati I.,2019,17 cited
SITI FATIMAH,5978161,The students' mathematical concept understanding ability through cooperative learning type jigsaw assisted visual media,Q4 Journal,Journal of Physics: Conference Series,Author Order : 3 of 6,Creator : Sumarni S.,2018,3 cited
SITI FATIMAH,5978161,Welcome message from the dean of FPMIPA universitas pendidikan Indonesia,no-Q Journal,Proceeding - 2017 3rd International Conference on Science in Information Technology: Theory and Appl,Author Order : 1 of 1,Creator : Fatimah S.,2018,0 cited
SITI FATIMAH,5978161,Inquiry based learning: A student centered learning to develop mathematical habits of mind,Q4 Journal,Journal of Physics: Conference Series,Author Order : 3 of 5,Creator : Handayani A.,2018,7 cited
SITI FATIMAH,5978161,Irradiation effect on the structural properties of ipomoea batatas l as a function of temperature and time,Q4 Journal,Materials Science Forum,Author Order : 1 of 4,Creator : Fatimah S.,2019,0 cited
SITI FATIMAH,5978161,Luminescence properties of carbon dots synthesis from sugar for enhancing glows in paints,Q2 Journal,Materials Research Express,Author Order : 1 of 4,Creator : Fatimah S.,2019,8 cited
SITI FATIMAH,5978161,Developing pisa-like mathematics problems on uncertainty and data using asian games football context,Q1 Journal,Journal on Mathematics Education,Author Order : 4 of 4,Creator : Yansen D.,2019,6 cited
SITI FATIMAH,5978161,Sufficient and necessary conditions for generalized Hölder's inequality in p-summable sequence spaces,Q4 Journal,Journal of Physics: Conference Series,Author Order : 1 of 5,Creator : Fatimah S.,2019,2 cited
SITI FATIMAH,5978161,Enhancing mathematical connection ability of mathematics education student through inquiry-based learning,Q4 Journal,Journal of Physics: Conference Series,Author Order : 3 of 4,Creator : Handayani A.,2019,0 cited
AGUS SETIAWAN,259466,High mobility and high N concentration of GaN,no-Q Journal,"2008 IEEE PhotonicsGlobal at Singapore, IPGC 2008",Author Order : 3 of 4,Creator : Hamidah I.,2008,0 cited
SITI FATIMAH,5978161,"Exploration Study of Factors Caused Out of School Rate, Impact, and Strategies to Overcome Them",no-Q Journal,ACM International Conference Proceeding Series,Author Order : 0 of 0,Creator : Rokhmaniyah R.,2021,0 cited
AGUS SETIAWAN,259466,Polarity control of GaN epilayers grown on ZnO templates,Q2 Journal,Materials Science in Semiconductor Processing,Author Order : 3 of 7,Creator : Suzuki T.,2003,17 cited
AGUS SETIAWAN,259466,Effects of annealing of MgO buffer layer on structural quality of ZnO layers grown by P-MBE on c-sapphire,Q2 Journal,Materials Science in Semiconductor Processing,Author Order : 1 of 3,Creator : Setiawan A.,2003,9 cited
AGUS SETIAWAN,259466,"Corrosion study of AISI 304 on KOH, NaOH, and NaCl solution as an electrode on electrolysis process",Q3 Journal,Journal of Engineering Science and Technology,Author Order : 3 of 8,Creator : Hamidah I.D.A.,2018,8 cited
AGUS SETIAWAN,259466,Using hot lab to increase pre-service physics teacher's critical thinking skills related to the topic of RLC circuit,Q4 Journal,Journal of Physics: Conference Series,Author Order : 2 of 9,Creator : Malik A.,2018,11 cited
